name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,236,41832447,,-111.9522017,33.4199752,,,,,
,237,11349503871,,-111.9500313,33.4199752,,,,,
,238,41832457,,-111.9522017,33.4204121,,,,,
,239,11357167232,,-111.9522867,33.4204121,,,,,
,240,317699748,,-111.9564858,33.4204254,,,,,
,241,41855562,,-111.9225910,33.4128699,,,,,
,242,12912364032,,-111.9225906,33.4128248,,,,,
,243,3458373529,,-111.9225740,33.4111077,,,,,
,244,2916726362,,-111.9261191,33.4209521,,,,,
,245,7111645864,,-111.9231296,33.4203038,,,,,
,246,41638526,,-111.9090775,33.4195301,,,,,
,247,41573985,,-111.9262379,33.4209763,,,,,
,248,11360354181,,-111.9521176,33.4192125,,,,,
,249,41908243,,-111.9522015,33.4192126,,,,,
,250,11349492814,,-111.9500307,33.4192087,,,,,
,251,11360354180,,-111.9522829,33.4196961,,,,,
,252,317699754,,-111.9564865,33.4197096,,,,,
,253,41908245,,-111.9522017,33.4196958,,,,,
,254,418968766,,-111.9457706,33.4210818,,,,,
,255,11343867003,,-111.9457718,33.4206907,,,,,
,256,7976977067,,-111.9457708,33.4214052,,,,,
,257,5665460109,,-111.9457706,33.4214700,,,,,
,258,11343876705,,-111.9457698,33.4193459,,,,,
,259,4181519102,,-111.9457666,33.4182435,,,,,
,260,8417475899,,-111.9457694,33.4215993,,,,,
,261,4181519089,,-111.9457653,33.4173081,,,,,
,262,11349206319,,-111.9457667,33.4168797,,,,,
,263,11343862442,,-111.9457680,33.4217795,,,,,
,264,11343876726,,-111.9457633,33.4178422,,,,,
,265,11343876708,,-111.9457700,33.4194559,,,,,
,266,41937058,,-111.9457723,33.4206400,,,,,
,267,11343867005,,-111.9457719,33.4205854,,,,,
,268,41937048,,-111.9457689,33.4218985,,,,,
,269,12927481618,,-111.9457642,33.4146948,,,,,
,270,41812217,,-111.9457642,33.4146384,,,,,
,271,41937068,,-111.9457633,33.4177924,,,,,
,272,41937071,,-111.9457671,33.4168277,,,,,
,273,11349206317,,-111.9457666,33.4167722,,,,,
,274,11349206315,,-111.9457632,33.4161240,,,,,
,275,41937075,,-111.9457638,33.4160717,,,,,
,276,11343876722,,-111.9457632,33.4177333,,,,,
,277,11349206313,,-111.9457630,33.4160179,,,,,
,278,11357048319,,-111.9457752,33.4145565,,,,,
,279,401889108,,-111.9458013,33.4142662,,,,,
,280,401889094,,-111.9451678,33.4128225,,,,,
,281,401889023,,-111.9451656,33.4121077,,,,,
,282,41937212,,-111.9452041,33.4117658,,,,,
,283,41937201,,-111.9451681,33.4124668,,,,,
,284,10270682090,,-111.9366150,33.4162050,,,,,
,285,2819203905,,-111.9366127,33.4161377,,,,,
,286,2819203908,,-111.9366156,33.4162727,,,,,
,287,5414896284,,-111.9366060,33.4154179,,,,,
,288,1698683809,,-111.9366283,33.4173869,,,,,
,289,863737649,,-111.9366028,33.4150954,,,,,
,290,5333539971,,-111.9366324,33.4174773,,,,,
,291,1698683562,,-111.9366013,33.4149437,,,,,
,292,5333540340,,-111.9366006,33.4148000,,,,,
,293,330683946,signal,-111.9366009,33.4147410,,,,,
,294,11378682084,,-111.9370704,33.4135796,,,,,
,295,863733766,,-111.9370743,33.4140281,,,,,
,296,316880529,,-111.9370852,33.4145236,,,,,
,297,11352315601,,-111.9521176,33.4168899,,,,,
,298,11352572327,,-111.9486310,33.4168391,,,,,
,299,11349206318,,-111.9458280,33.4168279,,,,,
,300,41958394,,-111.9521931,33.4168731,,,,,
,301,11352315604,,-111.9522768,33.4168662,,,,,
,302,11352572325,,-111.9485027,33.4168383,,,,,
,303,11349206316,,-111.9456957,33.4168274,,,,,
,304,4181518773,,-111.9527406,33.4168660,,,,,
,305,4181518769,,-111.9448138,33.4168241,,,,,
,306,41958385,,-111.9472696,33.4168315,,,,,
,307,11349206321,,-111.9473340,33.4168319,,,,,
,308,11347309410,,-111.9443064,33.4168224,,,,,
,309,41520536,,-111.9442410,33.4168222,,,,,
,310,11349206320,,-111.9472043,33.4168313,,,,,
,311,41958402,,-111.9532462,33.4168831,,,,,
,312,41965181,,-111.9499229,33.4114402,,,,,
,313,317438658,,-111.9497700,33.4115734,,,,,
,314,41965175,,-111.9498705,33.4116588,,,,,
,315,11369695318,,-111.9479588,33.4117564,,,,,
,316,41965248,,-111.9478628,33.4117562,,,,,
,317,11364898254,,-111.9520953,33.4124230,,,,,
,318,11364898251,,-111.9522690,33.4124245,,,,,
,319,41965211,,-111.9534210,33.4121688,,,,,
,320,41965207,,-111.9521808,33.4124231,,,,,
,321,41884203,,-111.9608082,33.4114862,,,,,
,322,5646686303,,-111.9253379,33.4128799,,,,,
,323,5646686302,,-111.9251549,33.4128723,,,,,
,324,8424527248,,-111.9258245,33.4128823,,,,,
,325,7173833117,,-111.9215278,33.4128720,,,,,
,326,41966670,,-111.9170917,33.4129492,,,,,
,327,3458373540,,-111.9220742,33.4128709,,,,,
,328,7806677369,,-111.9228700,33.4128709,,,,,
,329,41966652,,-111.9232576,33.4128738,,,,,
,330,11243560632,,-111.9234186,33.4128740,,,,,
,331,5646686313,,-111.9238554,33.4128747,,,,,
,332,5646686297,,-111.9239695,33.4128764,,,,,
,333,8460196081,,-111.9249900,33.4128728,,,,,
,334,2239876799,,-111.9397869,33.4190694,,,,,
,335,2625359006,signal,-111.9398533,33.4190667,,,,,
,336,5260253703,,-111.9394786,33.4190668,,,,,
,337,8444439630,,-111.9385248,33.4190744,,,,,
,338,41995466,,-111.9381322,33.4190867,,,,,
,339,10307913563,,-111.9381877,33.4190773,,,,,
,340,7806728544,,-111.9232566,33.4124741,,,,,
,341,337827302,,-111.9232571,33.4112193,,,,,
,342,11633569987,,-111.9232569,33.4128187,,,,,
,343,42019877,,-111.9532350,33.4182615,,,,,
,344,401886587,,-111.9531959,33.4118484,,,,,
,345,42019883,,-111.9531642,33.4114262,,,,,
,346,11369682235,,-111.9533813,33.4121128,,,,,
,347,42019898,,-111.9530970,33.4106044,,,,,
,348,42019902,,-111.9530728,33.4096848,,,,,
,349,10290082373,,-111.9381226,33.4201018,,,,,
,350,8447095244,,-111.9381210,33.4199626,,,,,
,351,5264800451,,-111.9381248,33.4202238,,,,,
,352,2065989266,signal,-111.9381506,33.4218987,,,,,
,353,2239876822,,-111.9381490,33.4218417,,,,,
,354,3712803330,,-111.9381320,33.4205154,,,,,
,355,10290082370,,-111.9381258,33.4202962,,,,,
,356,11378607630,,-111.9381335,33.4206326,,,,,
,357,11378607633,,-111.9381399,33.4211308,,,,,
,358,6088069155,,-111.9381410,33.4212157,,,,,
,359,5333540359,,-111.9381214,33.4191340,,,,,
,360,7121961126,,-111.9381172,33.4196844,,,,,
,361,11343862456,,-111.9479783,33.4217878,,,,,
,362,7130879046,,-111.9479778,33.4217047,,,,,
,363,42306185,,-111.9479804,33.4219040,,,,,
,364,11352647765,,-111.9483783,33.4137881,,,,,
,365,11352647763,,-111.9483782,33.4137961,,,,,
,366,41812224,,-111.9483752,33.4142693,,,,,
,367,11347214003,,-111.9400734,33.4162049,,,,,
,368,863733752,,-111.9405834,33.4162013,,,,,
,369,11347214027,,-111.9411258,33.4162037,,,,,
,370,41533544,,-111.9412050,33.4162040,,,,,
,371,11347214030,,-111.9412891,33.4162025,,,,,
,372,863736901,,-111.9418210,33.4161933,,,,,
,373,41662598,,-111.9399810,33.4162084,,,,,
,374,11347244061,,-111.9423639,33.4161908,,,,,
,375,401889204,,-111.9479061,33.4160809,,,,,
,376,11352572298,,-111.9485028,33.4160818,,,,,
,377,11352572302,,-111.9486361,33.4160828,,,,,
,378,11361101947,,-111.9521056,33.4160144,,,,,
,379,317437509,,-111.9521905,33.4160147,,,,,
,380,42325425,,-111.9472990,33.4160753,,,,,
,381,11349206296,,-111.9473313,33.4160756,,,,,
,382,2819203907,,-111.9367087,33.4162100,,,,,
,383,1698683692,,-111.9370018,33.4162264,,,,,
,384,1698683701,,-111.9370673,33.4162376,,,,,
,385,2341521994,,-111.9288120,33.4202592,,,,,
,386,5414658106,,-111.9280210,33.4202698,,,,,
,387,41800245,,-111.9289334,33.4202593,,,,,
,388,5414658105,,-111.9278824,33.4202775,,,,,
,389,7276008036,,-111.9397729,33.4147580,,,,,
,390,12459355693,,-111.9393539,33.4147602,,,,,
,391,2065989260,signal,-111.9399107,33.4147540,,,,,
,392,42397738,,-111.9472745,33.4182992,,,,,
,393,11343876767,,-111.9473382,33.4182993,,,,,
,394,4176965587,,-111.9478959,33.4183200,,,,,
,395,42306200,,-111.9479255,33.4183407,,,,,
,396,11360354178,,-111.9522790,33.4182869,,,,,
,397,4181519107,,-111.9527352,33.4182877,,,,,
,398,42001796,,-111.9521978,33.4182867,,,,,
,399,42408281,,-111.9478595,33.4105608,,,,,
,400,11394845125,,-111.9479643,33.4105613,,,,,
,401,42408282,,-111.9493380,33.4105679,,,,,
,402,42408299,,-111.9478585,33.4102580,,,,,
,403,41707754,,-111.9472900,33.4272154,,,,,
,404,7979571967,,-111.9472887,33.4224775,,,,,
